Date,Open,High,Low,Vol.,Change %,Crude_Oil_Price,EURUSD,Carbon_Price_USD,EuroNext100_Price,Total_MtCO2_per_day,Natural_Gas_Price
2021-01-04,33.14,34.45,33.14,1250.0,2.88,47.76,1.2248,41.508472000000005,1112.52,18.327062767034,2.561
2021-01-05,33.69,33.83,32.96,1280.0,-2.18,50.01,1.2294,40.75461,1109.56,18.811857766274,2.673
2021-01-06,33.71,33.88,33.02,430.0,2.05,50.69,1.2325,41.695475,1120.23,19.171410338359,2.684
2021-01-07,34.05,35.0,34.05,1170.0,3.37,50.87,1.227,42.908190000000005,1122.13,19.889331112044,2.691
2021-01-08,35.21,35.35,34.55,1600.0,0.49,52.26,1.2218,42.934052,1132.1,20.89123395056,2.656
2021-01-11,35.29,35.4,34.46,1100.0,-1.08,52.27,1.2149,42.229924,1124.29,21.832499926341,2.703
2021-01-12,34.6,35.59,34.44,1310.0,0.35,53.24,1.2207,42.578016,1122.56,21.825288526021,2.707
2021-01-13,34.73,34.85,33.33,1990.0,-2.87,52.96,1.2157,41.187916,1123.61,21.83190788665,2.689
2021-01-14,33.77,33.97,32.99,1620.0,-0.35,53.62,1.2156,41.038656,1133.2,21.687170908805,2.63
2021-01-15,33.63,33.63,31.89,1750.0,-5.33,52.42,1.2078,38.601288,1121.8,21.730905713605,2.696
2021-01-18,31.83,32.51,31.56,1210.0,-0.38,52.36,1.2076,38.449984,1122.54,22.000910227072,2.637
2021-01-19,32.11,33.33,32.06,1140.0,4.59,52.98,1.2128,40.38624,1122.18,21.915070240852,2.529
2021-01-20,33.49,33.84,33.02,700.0,-0.54,53.31,1.2104,40.08844799999999,1130.55,21.54502044122,2.533
2021-01-21,32.89,34.41,32.83,830.0,3.62,53.05,1.2162,41.739984,1129.32,20.86136044307,2.497
2021-01-22,34.27,34.45,33.77,1390.0,0.38,52.19,1.2167,41.915315,1123.64,20.15049877373,2.456
2021-01-25,34.77,34.84,33.35,1720.0,-3.08,52.67,1.2137,40.525443,1110.13,19.19308764455,2.598
2021-01-26,33.13,33.74,33.05,1270.0,0.51,52.52,1.216,40.80896,1115.66,19.32139131758,2.636
2021-01-27,33.41,33.67,32.48,610.0,-0.15,52.73,1.2108,40.573908,1098.49,19.75710970762,2.702
2021-01-28,33.81,34.16,33.15,1060.0,1.97,52.24,1.2121,41.417457,1106.68,20.181068258521,2.675
2021-01-29,34.0,34.08,33.16,1380.0,-2.9,52.08,1.2136,40.267248,1085.38,20.182491446991,2.592
2021-02-01,33.19,33.58,32.85,620.0,-0.3,53.42,1.2059,39.891172,1100.99,20.085474516671,2.821
2021-02-02,33.29,35.32,33.29,1040.0,6.38,54.62,1.2042,42.375798,1119.53,19.97354828106,2.818
2021-02-03,35.15,38.04,35.07,2590.0,6.99,55.54,1.2034,45.30801,1121.09,19.6344400902,2.772
2021-02-04,37.76,38.46,36.92,1380.0,-0.42,56.07,1.1962,44.845538,1126.74,19.670149942168,2.889
2021-02-05,37.6,38.9,37.43,1080.0,2.51,56.7,1.2042,46.277406,1132.93,19.964246445228,2.841
2021-02-08,39.39,39.93,38.7,2100.0,1.07,57.83,1.2048,46.79443200000001,1136.56,19.77811259402,2.862
2021-02-09,38.39,38.89,37.8,2050.0,-0.9,58.25,1.2117,46.638333,1138.0,20.15624512239,2.823
2021-02-10,38.41,39.94,37.81,3230.0,2.78,58.57,1.2116,47.930896,1134.18,20.891651644396,2.879
2021-02-11,39.5,40.31,38.63,12720.0,-1.42,58.14,1.2128,47.299200000000006,1138.5,21.519425502766,2.836
2021-02-12,38.61,40.5,37.4,7620.0,3.28,59.38,1.2118,48.811304,1147.6,22.070332644804,2.876
2021-02-15,40.18,40.88,39.73,3760.0,-1.17,60.09,1.2127,48.277587,1161.12,23.13347822756,3.067
2021-02-16,39.85,40.79,39.1,5750.0,-1.71,60.08,1.2104,47.362952,1161.15,22.750485220515,2.983
2021-02-17,39.25,39.66,38.35,3990.0,-1.87,61.16,1.2036,46.21824,1156.12,22.085979822535,3.032
2021-02-18,38.88,38.88,38.18,2300.0,0.55,60.53,1.2088,46.671768,1147.07,21.289285104865,2.97
2021-02-19,38.37,38.95,37.68,3890.0,-2.36,59.26,1.2117,45.681090000000005,1154.79,20.498915486649,2.991
2021-02-22,37.73,38.41,36.8,1030.0,1.49,61.7,1.2154,46.501204,1148.14,18.460539644639,2.936
2021-02-23,38.51,39.04,37.74,2290.0,1.86,61.43,1.2149,47.344653,1145.04,17.968538990544,2.857
2021-02-24,38.75,39.64,38.59,350.0,1.23,63.0,1.2164,47.98698,1146.63,17.459524776264,2.795
2021-02-25,39.83,39.83,38.63,1100.0,-2.23,63.22,1.2176,46.962832,1141.98,17.192582623922,2.809
2021-02-26,38.03,38.39,37.55,4430.0,-2.51,61.23,1.2074,45.39824,1123.08,17.166968883147,2.809
2021-03-01,38.16,38.43,37.43,2670.0,-0.4,60.42,1.2047,45.116015,1144.02,17.92738619043,2.818
2021-03-02,37.25,38.73,37.16,3330.0,3.31,59.57,1.2089,46.772341,1144.61,18.46152904534,2.875
2021-03-03,38.72,38.75,37.49,2720.0,-2.25,61.1,1.2062,45.618484,1147.53,19.22399222562,2.849
2021-03-04,37.95,38.73,37.03,2100.0,1.82,63.62,1.1966,46.081066,1144.45,19.757367296688,2.781
2021-03-05,38.6,39.45,38.16,1700.0,2.21,65.92,1.1917,46.905312,1133.33,20.16420503255,2.739
2021-03-08,39.76,39.76,38.67,3130.0,0.28,64.93,1.1843,46.74432099999999,1153.14,20.8893035302093,2.698
2021-03-09,39.57,41.1,39.4,1610.0,3.83,63.99,1.1898,48.75800399999999,1163.11,21.1100347565934,2.696
2021-03-10,40.96,42.12,40.83,7580.0,2.17,64.42,1.1925,49.92997499999999,1173.01,20.9673478154712,2.728
2021-03-11,42.01,43.02,41.35,9370.0,0.96,66.0,1.1984,50.656368,1183.27,20.3099723737112,2.703
2021-03-12,42.16,43.22,41.85,3020.0,2.18,65.64,1.1952,51.620688,1179.42,19.5854745562889,2.636
2021-03-15,42.44,43.65,42.42,8300.0,-1.07,65.44,1.1928,50.968344,1179.34,17.7906530356747,2.523
2021-03-16,42.5,42.94,41.92,12130.0,-1.8,64.86,1.19,49.9324,1184.32,17.326906342970002,2.597
2021-03-17,42.33,43.4,42.1,5370.0,3.29,64.63,1.1978,51.912652,1183.44,17.31128982636,2.555
2021-03-18,43.34,44.07,42.58,8890.0,-1.38,60.06,1.1915,50.924710000000005,1184.47,18.01372300788,2.511
2021-03-19,42.4,42.64,41.6,2720.0,-1.01,61.44,1.1903,50.361593,1176.57,18.62884367033,2.566
2021-03-22,42.1,43.35,42.09,1080.0,2.06,61.56,1.1931,51.518058,1175.47,19.9228548653,2.619
2021-03-23,43.02,43.11,41.67,3180.0,-3.24,57.78,1.1849,49.50512200000001,1172.47,20.127496708279,2.554
2021-03-24,41.86,42.03,41.12,3080.0,0.43,61.16,1.1812,49.563152,1173.25,20.06785238886,2.568
2021-03-25,41.84,41.95,40.0,3480.0,-2.98,58.57,1.1764,47.89124399999999,1173.03,19.80838464234,2.616
2021-03-26,40.71,42.17,40.64,2270.0,3.39,60.96,1.1796,49.649364000000006,1184.05,19.35278074433,2.619
2021-03-29,41.84,42.64,41.19,1120.0,0.26,61.53,1.1762,49.63564,1187.95,17.637201936599,2.653
2021-03-30,41.94,42.83,41.83,3400.0,0.47,60.56,1.1714,49.66736,1198.75,16.99039042818,2.681
2021-03-31,42.48,43.1,42.37,1300.0,1.16,59.18,1.1728,50.30139200000001,1195.05,16.50991266343,2.667
